award_key,award_id,generated_award_id,award_type,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,detected_by,sources,override_status
CONT_AWD_80NSSC23FA279_8000_GS10F0331M_4730,80NSSC23FA279,CONT_AWD_80NSSC23FA279_8000_GS10F0331M_4730,contract,CREATIVE SOLUTIONS INTERNATIONAL COPORATION,2025-02-20,F,P00003,-6154.45,TERMINATION FOR CONVENIENCE AGREEMENT - CREATIVE SOLUTIONS CONSULTING SERVICES (DEBORAH KLOTZ) IN SUPPORT OF THE OCIO TRANSFORMATION PROJECT.,both,api;mirror,
CONT_AWD_80NSSC24PC331_8000_-NONE-_-NONE-,80NSSC24PC331,CONT_AWD_80NSSC24PC331_8000_-NONE-_-NONE-,contract,"ELI GROUP, LLC",2025-02-19,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - EXECUTIVE LEADERSHIP IMPACT,both,api;mirror,
CONT_AWD_80NSSC24PA609_8000_-NONE-_-NONE-,80NSSC24PA609,CONT_AWD_80NSSC24PA609_8000_-NONE-_-NONE-,contract,"POLITICO, LLC",2025-02-18,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - POLITICO PRO AGREEMENT FOR OCFO,both,api;mirror,
CONT_AWD_80NSSC24PA723_8000_-NONE-_-NONE-,80NSSC24PA723,CONT_AWD_80NSSC24PA723_8000_-NONE-_-NONE-,contract,"POLITICO, LLC",2025-02-18,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - RENEWAL FOR POLITICO PRO SERVICE FOR OLIA,both,api;mirror,
CONT_AWD_80MSFC20C0050_8000_-NONE-_-NONE-,80MSFC20C0050,CONT_AWD_80MSFC20C0050_8000_-NONE-_-NONE-,contract,SPATIAL INFORMATICS GROUP LLC,2025-02-07,M,P00011,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DE-SCOPE - SERVIR GLOBAL NETWORK CAPABILITY PROGRAM,description,api;mirror,descoped
CONT_AWD_80NSSC24PA590_8000_-NONE-_-NONE-,80NSSC24PA590,CONT_AWD_80NSSC24PA590_8000_-NONE-_-NONE-,contract,"ELI GROUP, LLC",2025-01-31,F,P00001,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - 2024 LEADERSHIP LAB FOR WOMEN,both,api;mirror,
CONT_AWD_80JSC024FA135_8000_80JSC023AA001_8000,80JSC024FA135,CONT_AWD_80JSC024FA135_8000_80JSC023AA001_8000,contract,BOOZ ALLEN HAMILTON INC,2025-01-27,F,P00002,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE TERMINATED IAW EO 14151-STRATEGIC PROFESSIONAL ENGINEERING ASSESSMENT CONTRACT II (SPEAC II),both,api;mirror,
CONT_AWD_80JSC024FA083_8000_80JSC023AA001_8000,80JSC024FA083,CONT_AWD_80JSC024FA083_8000_80JSC023AA001_8000,contract,BOOZ ALLEN HAMILTON INC,2025-01-24,F,P00002,-1384035.00,TERMINATION FOR CONVENIENCE AGREEMENT - SPEACII - TASK ORDER 84 - NASA ODEO DEIA DATA ANALYTICS AND ASSESSMENT,both,api;mirror,
CONT_AWD_80MSFC24CA008_8000_-NONE-_-NONE-,80MSFC24CA008,CONT_AWD_80MSFC24CA008_8000_-NONE-_-NONE-,contract,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",2025-01-23,M,P00003,0.00,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DESCOPE - THE GOAL OF NEO SURVEYOR IS TO FIND, TRACK, AND CHARACTERIZE THE ASTEROIDS AND COMETS THAT COULD POTENTIALLY THREATEN THE EARTH.",description,api;mirror,
CONT_AWD_80MSFC24F0067_8000_80MSFC20D0004_8000,80MSFC24F0067,CONT_AWD_80MSFC24F0067_8000_80MSFC20D0004_8000,contract,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,2025-01-23,M,P00002,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - HERE TO OBSERVE (H2O) SUPPORT FOR PLANETARY SCIENCE DIVISION (PSD) MISSIONS,description,api;mirror,
CONT_AWD_NNM16AA08C_8000_-NONE-_-NONE-,NNM16AA08C,CONT_AWD_NNM16AA08C_8000_-NONE-_-NONE-,contract,SOUTHWEST RESEARCH INSTITUTE,2025-01-23,M,44,0.00,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DESCOPE - LUCY IS A PLANNED NASA SPACE PROBE THAT WILL TOUR FIVE JUPITER TROJANS, ASTEROIDS WHICH SHARE JUPITER'S ORBIT AROUND THE SUN, ORBITING EITHER AHEAD OF OR BEHIND THE PLANET AND ONE MAIN BELT ASTEROID. ALL TARGET ENCOUNTERS WILL BE FLY-BY ENCOUNTERS.",description,api;mirror,
