claim_type,doge_award_id,recipient,doge_value,doge_savings,doge_claim_date,doge_status,source_url,usaspending_found,generated_award_id,award_type,award_type_code,has_explicit_termination,termination_vacated,latest_action_date,latest_action_type,latest_description,current_obligation,current_end_date,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,recipient_district,pop_city,pop_state,pop_zip,pop_district,total_potential_value,checked_date
grant,80NSSC25K7030,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,238468,0,2025-05-14,,https://usaspending.gov/award/ASST_NON_80NSSC25K7030_8000,true,ASST_NON_80NSSC25K7030_080,grant,04,true,false,2026-04-30,D,Light pollution is an emerging public health hazard that has been linked to elevated risk of many diseases including sleep disorders cancer cardiometabolic diseases dementia and mental disorders. Moreover Light pollution is also an important environmental justice issue. It has been shown that marginalized communities have a disproportionately high burden of Artificial Light At Night (ALAN) and are more susceptible to develope adverse health effects related to alan. Among american cities chicago not only has one of the highest levels of Light pollution but also displays profound injustice in Light pollution. The little village neighborhood in chicago a predominantly mexican immigrant community exemplifies the dual burden of high levels of Light pollution and social vulnerability. Thanks to years of collaborative work with our community partners there is now growing awareness about Light pollution and its detrimental effects among the little village residents. In addition the community members expressed pressing needs in learning more about Light pollution in their neighborhood and taking actions to promote appropriate lighting and mitigate adverse health effects. In particular there are critical needs for 1) an interface that provide high quality data and visualization and analysis tools to characterize the burden of alan 2) a platform that crosslinks alan measures with demographic and socioeconomic indicators and health statistics to demonstrate the scale of Light pollution injustice and highlight its public health implications and 3) an expanded education program that teach students about Light pollution and its consequences and cultivate next-generation activists to take data-informed actions.,69975.13,2025-05-10,7000 FANNIN ST FL 9,,HOUSTON,TX,77030,18,HOUSTON,TX,77030,18,,2026-08-20
grant,80NSSC25K7032,EMORY UNIVERSITY,281894,0,2025-05-14,,https://usaspending.gov/award/ASST_NON_80NSSC25K7032_8000,true,ASST_NON_80NSSC25K7032_080,grant,04,true,false,2025-09-25,D,Termination for convenience agreement - advancing environmental justice in atlanta through gis-enabled community engagement - support for smd directorate,72879.91,2025-05-10,201 DOWMAN DR NE,,ATLANTA,GA,30322,05,ATLANTA,GA,30322,05,,2026-08-20
grant,80NSSC25K7036,UNIVERSITY OF RICHMOND,248049,0,2025-05-14,,https://usaspending.gov/award/ASST_NON_80NSSC25K7036_8000,true,ASST_NON_80NSSC25K7036_080,grant,04,true,false,2026-04-30,D,Termination for convenience agreement - building capacity for resiliency education and environmental justice across the changing indigenous landscapes of virginia - support for smd directorate,0.00,2025-05-10,110 UR DR # 200,,RICHMOND,VA,23173,07,RICHMOND,VA,23173,04,,2026-08-20
grant,80NSSC21K1443,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,602062,0,2025-05-12,,https://usaspending.gov/award/ASST_NON_80NSSC21K1443_8000,true,ASST_NON_80NSSC21K1443_080,grant,04,true,true,2026-07-06,D,This project will use the geos-chem model to interpret NASA airborne observations of oxygenated volatile organic compounds (OVOCS) from the korus-aq campaign over korea (may-jun 2016) and the atom campaign over the pacific and atlantic (four deployments from jul-aug 2016 to apr-may 2018,586625.65,2025-07-31,1033 MASSACHUSETTS AVE 5TH FL,,CAMBRIDGE,MA,02138,05,CAMBRIDGE,MA,02138,05,,2026-08-20
contract,80NSSC23F0002,"FOUR POINTS TECHNOLOGY, L.L.C.",19212.13,0,2025-05-06,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC23F0002&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD22B&contractType=AWARD,true,CONT_AWD_80NSSC23F0002_8000_NNG15SD22B_8000,contract,C,true,false,2025-04-21,F,Terminate for convenience agreement securid authenticator tokens,19212.13,2025-04-21,13221 WOODLAND PARK RD,STE 400,HERNDON,VA,20171,11,CHANTILLY,VA,20151,11,19212.13,2026-08-20
contract,80NSSC24FA558,"THREE WIRE SYSTEMS, LLC",17400,0,2025-05-06,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24FA558&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD25B&contractType=AWARD,true,CONT_AWD_80NSSC24FA558_8000_NNG15SD25B_8000,contract,C,true,false,2025-04-16,F,Termination for convenience agreement tor- one software renewal,17400.00,2025-04-16,1775 TYSONS BLVD,5TH FLOOR,TYSONS,VA,22102,11,MCLEAN,VA,22102,11,17400.00,2026-08-20
contract,80NSSC24PA660,"LMI CONSULTING, LLC",42878.06,0,2025-05-06,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PA660&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PA660_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-16,F,Terminate for convenience: bridge program retreat,42878.06,2025-03-31,7940 JONES BRANCH DR,,TYSONS CORNER,VA,22102,11,MCLEAN,VA,22102,11,42878.06,2026-08-20
contract,80NSSC24PB717,"COSTAR REALTY INFORMATION, INC.",49050,0,2025-05-06,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PB717&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PB717_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,Termination for connivence agreement - costar,49050.00,2025-04-08,1313 L ST NW,,WASHINGTON,DC,20005,08,WASHINGTON,DC,20546,98,49050.00,2026-08-20
contract,80NSSC24PB891,"CAREER COMMUNICATIONS GROUP, INC.",12500,0,2025-05-06,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PB891&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PB891_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-16,F,Termination for convenience: women of color in STEM silver partnership and participation in their national convention,12500.00,2025-04-16,729 E PRATT ST STE 504,,BALTIMORE,MD,21202,07,BALTIMORE,MD,21202,07,12500.00,2026-08-20
contract,80NSSC24PC064,THE JANDOR GROUP LLC,100000,0,2025-05-06,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PC064&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PC064_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,Terminate for convenience agreement,100000.00,2025-04-09,3033 CHIMNEY ROCK RD STE 216,,HOUSTON,TX,77056,07,HOUSTON,TX,77056,07,100000.00,2026-08-20
contract,80NSSC24PC363,QUALCOMM TECHNOLOGIES INC,6000,0,2025-05-06,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PC363&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PC363_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,Terminate for convenience agreement - qualcomm 5g learning - four subscriptions,6000.00,2025-04-08,5775 MOREHOUSE DR,,SAN DIEGO,CA,92121,51,SAN DIEGO,CA,92121,51,6000.00,2026-08-20
contract,80NSSC25FA078,"COLOSSAL CONTRACTING, LLC",16200,0,2025-05-06,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25FA078&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD72B&contractType=AWARD,true,CONT_AWD_80NSSC25FA078_8000_NNG15SD72B_8000,contract,C,true,false,2025-04-16,F,Termination for convenience agreement prisma cloud renewal,16200.00,2025-04-16,304 HARRY S TRUMAN PKWY STE G,,ANNAPOLIS,MD,21401,03,ANNAPOLIS,MD,21401,03,16200.00,2026-08-20
contract,80NSSC25PA014,SPACE EXPLORATION TECHNOLOGIES CORP,19038.4,0,2025-05-06,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25PA014&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC25PA014_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,"Termination for convenience agreement - aspire public-private talent program, SpaceX immersion",19038.40,2025-04-08,731 KELP RD,BLDG 731,VANDENBERG AFB,CA,93437,24,LOMPOC,CA,93437,24,19038.40,2026-08-20
contract,80NSSC25PA641,"MESSE DUSSELDORF NORTH AMERICA, INC.",15200,0,2025-05-06,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25PA641&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC25PA641_8000_-NONE-_-NONE-,contract,B,true,false,2025-06-17,C,Termination for convenience agreement - booth space for NASA at auvsi 2025,0.00,2025-05-22,150 N MICHIGAN AVE,STE 2920,CHICAGO,IL,60601,07,CHICAGO,IL,60601,07,0.00,2026-08-20
contract,80NSSC23FA528,IBEX IT BUSINESS EXPERTS LLC,214134.25,0,2025-05-01,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC23FA528&modNumber=P00007&idvAgencyID=&idvPIID=80NSSC23DA001&contractType=AWARD,true,CONT_AWD_80NSSC23FA528_8000_80NSSC23DA001_8000,contract,C,true,false,2025-04-23,F,"Stop work notice issued with notification of intent to terminate for convenience - nehcss - ibex it business experts, LLC task order 80nssc23fa528 organization development support services",214134.25,2025-03-31,3295 RIVER EXCHANGE DR STE 550,,NORCROSS,GA,30092,07,HUNTSVILLE,AL,35812,05,214134.25,2026-08-20
contract,80NSSC23PB368,PACIFIC RESEARCH & EVALUATION LLC,183337,0,2025-05-01,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC23PB368&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC23PB368_8000_-NONE-_-NONE-,contract,B,true,false,2025-03-06,F,Termination for convenience agreement -- audience evaluation of engagement content and materials,183337.00,2025-03-06,3507 S CORBETT AVE,,PORTLAND,OR,97239,01,PORTLAND,OR,97239,01,183337.00,2026-08-20
contract,80GSFC24CA024,"A3L FEDERAL WORKS,LLC",1978784.51,1423496,2025-04-14,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC24CA024&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80GSFC24CA024_8000_-NONE-_-NONE-,contract,D,true,false,2026-06-18,B,Knowledge Management and Efficiencies and Communications Supports (KMECS) ivv contract. The kmecs is for the performance of administrative and technical services that enable achievement of strategic objectives.,1007597.51,2027-01-06,1000 TECHNOLOGY DR,STE 1217,FAIRMONT,WV,26554,02,FAIRMONT,WV,26554,02,1978784.51,2026-08-20
contract,80NSSC20P1795,"HOWARD, WERSHBALE, & CO",20000,3950,2025-04-14,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC20P1795&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC20P1795_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,Termination for convenience agreement exercise option yr 4,16050.00,2025-04-08,23240 CHAGRIN BLVD # 700,,CLEVELAND,OH,44122,11,BEACHWOOD,OH,44122,11,20000.00,2026-08-20
contract,80NSSC22PA482,"DIVERSIFIED SERVICES GROUP, INCORPORATED",85560.46,38577.84,2025-04-14,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC22PA482&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC22PA482_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,Termination for convenience agreement - live plant maintenance services,46982.62,2025-04-09,12410 MILESTONE CENTER DR STE 600,,GERMANTOWN,MD,20876,06,GERMANTOWN,MD,20876,06,85560.46,2026-08-20
contract,80NSSC23PB058,"FLORIDA FIRST ROBOTICS EDUCATION FOUNDATION, INC.",100500,60300,2025-04-14,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC23PB058&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC23PB058_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,Termination for convenience agreement - sponsorship of the first orlando regional,40200.00,2025-04-08,1360 MEADOWBROOK RD NE,,PALM BAY,FL,32905,08,PALM BAY,FL,32905,08,100500.00,2026-08-20
contract,80NSSC24PB720,R3 UNIQ INC,71648.9,0,2025-04-11,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PB720&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PB720_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,Terminate for convenience - omnest network simulation software licenses and support,71648.90,2025-04-08,2535 TECH DR,STE 300,BETTENDORF,IA,52722,01,BETTENDORF,IA,52722,01,71648.90,2026-08-20
contract,80NSSC25PA068,UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,14000,0,2025-04-11,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25PA068&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC25PA068_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,Termination for convenience agreement - ot dynamical neutral atmosphere-ionosphere coupling-x (DYNAMIC-X),14000.00,2025-04-08,3090 CENTER GREEN DR,,BOULDER,CO,80301,02,BOULDER,CO,80301,02,14000.00,2026-08-20
contract,80NSSC24PA210,UNIBAP AB,70000,0,2025-04-10,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PA210&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PA210_8000_-NONE-_-NONE-,contract,B,true,false,2025-03-28,F,Stop work notice issued with notification of intent to terminate for convenience - unibap - ose-sat in-space autonomy testbed,70000.00,2025-03-28,VASTRA AGATAN 16,,UPPSALA,,,,MOUNTAIN VIEW,CA,94035,16,70000.00,2026-08-20
contract,80NSSC24CA161,NUBURU INC.,849989,0,2025-04-04,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24CA161&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24CA161_8000_-NONE-_-NONE-,contract,D,false,false,2025-03-11,E,SBIR phase ii - blue-plume - blue laser planetary and lunar management of electrical power,849989.00,2025-03-05,7442 S TUCSON WAY,STE 130,ENGLEWOOD,CO,80112,06,ENGLEWOOD,CO,80112,06,849989.00,2026-08-20
contract,80NSSC24FA979,"BRYCE SPACE AND TECHNOLOGY, LLC",5437483.22,4667483.22,2025-04-04,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24FA979&modNumber=P00003&idvAgencyID=&idvPIID=80NSSC24AA010&contractType=AWARD,true,CONT_AWD_80NSSC24FA979_8000_80NSSC24AA010_8000,contract,A,true,false,2025-09-12,M,"Termination for convenience agreement - change management support service bpa call for office of technology, policy, and strategy independent diagnostic and strategic advisory support (otps-idsas).",645125.14,2025-04-10,1737 KING ST STE 601,,ALEXANDRIA,VA,22314,08,ALEXANDRIA,VA,22314,08,645125.14,2026-08-20
contract,80HQTR23FA044,"CHENEGA GLOBAL PROTECTION, LLC",231345.2,0,2025-04-01,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR23FA044&modNumber=P00005&idvAgencyID=&idvPIID=80GSFC23DA004&contractType=AWARD,true,CONT_AWD_80HQTR23FA044_8000_80GSFC23DA004_8000,contract,C,true,false,2025-02-27,F,Termination for convenience agreement- Earth Information Center (EIC) support for NASA office of protective services,231345.20,2025-02-28,14420 ALBEMARLE POINT PL STE 100,,CHANTILLY,VA,20151,11,WASHINGTON,DC,20546,98,231345.20,2026-08-20
contract,80NSSC21M0003,UNIVERSITIES SPACE RESEARCH ASSOCIATION,3321286,0,2025-03-31,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC21M0003&modNumber=P00010&idvAgencyID=&idvPIID=&contractType=AWARD,true,ASST_NON_80NSSC21M0003_080,grant,05,true,false,2025-08-27,D,Termination for convenience agreement - Science activation program integration/ Science engagement & partnerships division for support for Science Mission Directorate (SMD),2767668.23,,7178 COLUMBIA GATEWAY DR,,COLUMBIA,MD,21046,03,COLUMBIA,MD,21046,03,,2026-08-20
contract,80NSSC21M0005,OKLAHOMA STATE UNIVERSITY,2981789,0,2025-03-24,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC21M0005&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,true,ASST_NON_80NSSC21M0005_080,grant,05,true,false,2025-07-22,D,Termination for convenience agreement - Science activation program integration/ Science engagement & partnerships division for support for Science Mission Directorate (SMD),2141868.19,2025-03-21,401 WHITEHURST HALL,,STILLWATER,OK,74078,03,STILLWATER,OK,74078,03,,2026-08-20
grant,80NSSC22K1658,CLEVELAND STATE UNIVERSITY,149765,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC22K1658_8000,true,ASST_NON_80NSSC22K1658_080,grant,04,true,false,2025-03-21,B,Termination for convenience agreement- 22-csdsa22_2-0014 commercial satellite data analysis characterizing canopy chlorophyll and photosynthetic productivity for agricultural crops and forest monitoring support for smd/esd directorate,149765.00,2025-03-21,2121 EUCLID AVE,,CLEVELAND,OH,44115,11,CLEVELAND,OH,44115,11,,2026-08-20
grant,80NSSC22K1673,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,250000,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC22K1673_8000,true,ASST_NON_80NSSC22K1673_080,grant,04,true,false,2025-03-21,B,Termination for convenience agreement - Earth science applications: equity and environmental justice support for science mission directorate (SMD/ESD),250000.00,2025-03-21,77 MASSACHUSETTS AVE,,CAMBRIDGE,MA,02139,07,CAMBRIDGE,MA,02139,07,,2026-08-20
grant,80NSSC22K1675,UNIVERSITY OF TEXAS AT AUSTIN,249842,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC22K1675_8000,true,ASST_NON_80NSSC22K1675_080,grant,04,true,false,2025-03-21,B,Termination for convenience agreement - Earth science applications: equity and environmental justice support for smd/esd mission directorate,249842.00,2025-03-21,110 INNER CAMPUS DR,,AUSTIN,TX,78712,25,AUSTIN,TX,78712,25,,2026-08-20
grant,80NSSC22K1681,"UNIVERSITY OF TEXAS RIO GRANDE VALLEY, THE",249999,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC22K1681_8000,true,ASST_NON_80NSSC22K1681_080,grant,04,true,false,2025-09-10,D,Termination for convenience agreement - Earth science applications: equity and environmental justice support for smd/esd,220220.64,2025-03-21,1201 WEST UNIVERSITY DR,,EDINBURG,TX,78539,15,EDINBURG,TX,78539,15,,2026-08-20
grant,80NSSC24K0113,UNIVERSITY OF ARKANSAS SYSTEM,374995,224997,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K0113_8000,true,ASST_NON_80NSSC24K0113_080,grant,04,true,false,2026-05-12,D,Termination for convenience agreement - here to observe uab support for smd/esd,0.00,2025-03-21,1200 UNIVERSITY DR STOP 4984,,PINE BLUFF,AR,71601,04,PINE BLUFF,AR,71601,04,,2026-08-20
grant,80NSSC24K0114,OHIO AEROSPACE INSTITUTE,365945,218736,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K0114_8000,true,ASST_NON_80NSSC24K0114_080,grant,04,true,false,2026-03-20,D,Here to Observe (H2O) - ohio and puerto rico space grant consortiums,94143.09,2025-03-21,22800 CEDAR POINT RD,,BROOK PARK,OH,44142,07,BROOK PARK,OH,44142,07,,2026-08-20
grant,80NSSC24K0115,VIRGINIA STATE UNIVERSITY,374750,224850,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K0115_8000,true,ASST_NON_80NSSC24K0115_080,grant,04,true,false,2025-09-25,D,Termination for convenience agreement - here to observe support for science mission directorate (SMD/ESD),0.00,2025-03-21,1 HAYDEN DR,,PETERSBURG,VA,23803,04,PETERSBURG,VA,23803,04,,2026-08-20
grant,80NSSC24K0176,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,763904,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K0176_8000,true,ASST_NON_80NSSC24K0176_080,grant,04,true,false,2025-08-12,D,Termination for convenience agreement - interdisciplinary research in Earth science support for science mission directorate (SMD/ESD),390648.69,2025-03-21,300 TURNER ST NW,STE 4200,BLACKSBURG,VA,24060,09,BLACKSBURG,VA,24060,09,,2026-08-20
grant,80NSSC24K0177,THE JOHNS HOPKINS UNIVERSITY,1465950,496601,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K0177_8000,true,ASST_NON_80NSSC24K0177_080,grant,04,true,false,2026-03-11,D,22-ids22-0055 resolving intra-urban variability in heat and air quality from space and the ground: leveraging diverse observations to support environmental justice,507640.22,2025-03-21,3400 N CHARLES ST,,BALTIMORE,MD,21218,07,BALTIMORE,MD,21218,07,,2026-08-20
grant,80NSSC24K0178,BROWN UNIVERSITY,1133347,380667,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K0178_8000,true,ASST_NON_80NSSC24K0178_080,grant,04,true,false,2025-08-12,D,Termination for convenience agreement - interdisciplinary research in Earth sciences for science mission directorate (SMD/ESD),352074.28,2025-03-21,1 PROSPECT ST,,PROVIDENCE,RI,02912,01,PROVIDENCE,RI,02912,01,,2026-08-20
grant,80NSSC24K0520,NATURAL AREAS CONSERVANCY INC,485603,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K0520_8000,true,ASST_NON_80NSSC24K0520_080,grant,04,true,false,2025-08-15,D,Termination for convenience agreement - interdisciplinary research in Earth sciences for support for science mission directorate (SMD/ESD),315207.82,2025-03-21,1234 5TH AVE,,NEW YORK,NY,10029,13,NEW YORK,NY,10029,13,,2026-08-20
