Award ID,Tracking Status,Verified Date,Evidence
80NSSC23K0309,continued,2026-07-29,Award continued: +$126413 P00005 2025-08-26 and P00006 2025-12-29 per USAspending.
80NSSC24K0966,needs_manual_review,2026-07-29,Only original 2024 obligation in USAspending; flagged PoP-decrease never posted; insufficient evidence to classify.
NNK14CA65T,excluded_by_design,2026-07-30,"Out of scope: terminated for convenience 1 on 2016-05-04, before the 2025-01-20 tracking window. Verified via USAspending transactions (2 txns; no post-termination obligations). Entered tracking only because the FPDS query swept a wider date range; not a policy cancellation."
80AFRC19F0092,excluded_by_design,2026-07-30,"Out of scope: terminated for convenience P00001 on 2019-06-12, before the 2025-01-20 tracking window. Verified via USAspending transactions (2 txns; no post-termination obligations). Entered tracking only because the FPDS query swept a wider date range; not a policy cancellation."
80ARC018F0144,excluded_by_design,2026-07-30,"Out of scope: terminated for convenience P00003 on 2020-01-17, before the 2025-01-20 tracking window. Verified via USAspending transactions (4 txns; no post-termination obligations). Entered tracking only because the FPDS query swept a wider date range; not a policy cancellation."
80GRC020P0006,excluded_by_design,2026-07-30,"Out of scope: terminated for convenience P00003 on 2020-06-05, before the 2025-01-20 tracking window. Verified via USAspending transactions (4 txns; no post-termination obligations). Entered tracking only because the FPDS query swept a wider date range; not a policy cancellation."
80GRC021F0123,excluded_by_design,2026-07-30,"Out of scope: terminated for convenience P00001 on 2021-09-29, before the 2025-01-20 tracking window. Verified via USAspending transactions (2 txns; no post-termination obligations). Entered tracking only because the FPDS query swept a wider date range; not a policy cancellation."
80LARC22FA010,excluded_by_design,2026-07-30,"Out of scope: terminated for convenience P00001 on 2022-05-24, before the 2025-01-20 tracking window. Verified via USAspending transactions (3 txns; no post-termination obligations). Entered tracking only because the FPDS query swept a wider date range; not a policy cancellation."
80LARC19F0127,excluded_by_design,2026-07-30,"Out of scope: terminated for convenience P00003 on 2023-11-29, before the 2025-01-20 tracking window. Verified via USAspending transactions (4 txns; no post-termination obligations). Entered tracking only because the FPDS query swept a wider date range; not a policy cancellation."
80GSFC21C0019,excluded_by_design,2026-07-30,"Out of scope: terminated for convenience P00005 on 2024-01-22, before the 2025-01-20 tracking window. Verified via USAspending transactions (6 txns; no post-termination obligations). Entered tracking only because the FPDS query swept a wider date range; not a policy cancellation."
80GSFC21M0002,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00035 on 2025-03-03 pulled the period of performance back 912 days to 2024-09-30). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80LARC17C0001,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00032 on 2025-09-02 pulled the period of performance back 638 days to 2024-09-30). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration. GeoCarb was cancelled by NASA in 2023; this mod is that decision's closeout."
80NSSC20K0737,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00007 on 2025-01-23 pulled the period of performance back 349 days to 2024-03-01). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC21K0418,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00007 on 2025-12-09 pulled the period of performance back 365 days to 2024-12-31). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC21K1248,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00007 on 2025-12-01 pulled the period of performance back 260 days to 2024-12-12). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC21K1255,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00006 on 2025-07-21 pulled the period of performance back 339 days to 2024-08-27). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC21K1267,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00005 on 2025-04-01 pulled the period of performance back 469 days to 2024-05-03). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC21K1274,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00005 on 2025-05-01 pulled the period of performance back 465 days to 2024-05-07). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC21K1280,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00006 on 2025-07-08 pulled the period of performance back 336 days to 2024-08-30). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC21K1284,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00005 on 2025-04-28 pulled the period of performance back 460 days to 2024-04-28). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC21K1301,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00007 on 2025-09-26 pulled the period of performance back 333 days to 2024-09-30). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC21P1879,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00010 on 2025-07-18 pulled the period of performance back 335 days to 2024-11-30). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC22K0532,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00004 on 2025-01-23 pulled the period of performance back 731 days to 2024-01-25). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80NSSC23K0183,excluded_by_design,2026-07-31,"Pre-window: sole detection was the mirror end-date-truncation net (mod P00002 on 2025-12-05 pulled the period of performance back 365 days to 2024-12-31). No termination action code and no termination language on any transaction. The mod is inside the 2025-01-20 tracking window but its effect is not: performance had already ended before the window opened, so this is closeout of an earlier decision, not a cancellation by the current administration."
80LARC26F7025,excluded_by_design,2026-08-05,"False positive: 'flight termination system' is launch-vehicle range-safety hardware, not a contract action. The NPDV description_keyword net matched the phrase inside the statement of work - advisory support to understand the cause of SLS FTS core battery qualification failures. USAspending shows one transaction ever (base award 2026-05-12, +$30,000), no modifications of any kind, period of performance 2026-05-29 to 2027-05-31. The award is live and has never been modified, let alone terminated."
80NSSC26P0092,excluded_by_design,2026-08-05,"False positive: 'flight termination receiver/decoder' is range-safety hardware being bought, not a contract action. The NPDV description_keyword net matched the line-item text. USAspending shows three transactions - base award 2025-12-18 (+$45,694) and two $0 administrative mods (action type M) on 2026-05-19 and 2026-06-17 - with the full obligation intact and no deobligation. Period of performance 2025-12-18 to 2026-08-18."
80NSSC26FA089,excluded_by_design,2026-08-06,"Legal contract cancellation (FPDS action code N, mod P00001 on 2026-02-23) that removed no future performance: the period of performance is unchanged at 2026-09-30, the same date the award was first reported with. Code N voids a contract rather than stopping work, so on its own it does not distinguish a policy cancellation from a routine procurement unwind. Excluded by the period-truncation gate; recorded here so the published status reads correctly rather than as an unexplained disappearance."
80NSSC26P0115,excluded_by_design,2026-08-06,"Legal contract cancellation (FPDS action code N, mod P00001 on 2026-01-21) on a purchase order for electrical supplies, voided weeks after issue. Period of performance unchanged at 2027-03-04. No obligation, no future performance removed. Same gate and same reasoning as 80NSSC26FA089."
80NSSC19K0326,vacated,2026-08-06,"Termination vacated and set aside by court order entered 2025-09-03; the modification's own text says so verbatim. A vacated termination is not an active cancellation, and the tracker's own reverifier already reads it that way (Automated Verdict: vacated, high confidence). Published as currently_flagged only because NPDV's broad net matches the bare word ""termination"" inside the sentence announcing the vacatur, so the award kept reappearing in the daily snapshot. Recorded here so the ledger says what the evidence says, independent of when that net is tightened."
80NSSC21K1443,vacated,2026-08-06,"Termination vacated and set aside by court order entered 2025-09-03; the modification's own text says so verbatim. A vacated termination is not an active cancellation, and the tracker's own reverifier already reads it that way (Automated Verdict: vacated, high confidence). Published as currently_flagged only because NPDV's broad net matches the bare word ""termination"" inside the sentence announcing the vacatur, so the award kept reappearing in the daily snapshot. Recorded here so the ledger says what the evidence says, independent of when that net is tightened."
80NSSC21M0002,vacated,2026-08-06,"Termination vacated and set aside by court order entered 2025-09-03; the modification's own text says so verbatim. A vacated termination is not an active cancellation, and the tracker's own reverifier already reads it that way (Automated Verdict: vacated, high confidence). Published as currently_flagged only because NPDV's broad net matches the bare word ""termination"" inside the sentence announcing the vacatur, so the award kept reappearing in the daily snapshot. Recorded here so the ledger says what the evidence says, independent of when that net is tightened."
80NSSC23K1430,vacated,2026-08-06,"Termination vacated and set aside by court order entered 2025-09-03; the modification's own text says so verbatim. A vacated termination is not an active cancellation, and the tracker's own reverifier already reads it that way (Automated Verdict: vacated, high confidence). Published as currently_flagged only because NPDV's broad net matches the bare word ""termination"" inside the sentence announcing the vacatur, so the award kept reappearing in the daily snapshot. Recorded here so the ledger says what the evidence says, independent of when that net is tightened."
