Award ID,Generated Award ID,Auto Status,Confidence,Verified Date,Evidence,Signals,Termination Mod,Termination Date,Latest Mod,Latest Mod Date,Post-Term Obligations,Transaction Count,Disagrees With Human,Last Attempt Date,Last Success Date,Attempt Count,Last Error
80GSFC23CA030,CONT_AWD_80GSFC23CA030_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00010 2025-09-29); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00010 2025-09-29;term_mod=P00010;term_date=2025-09-29;post_n=0;post_obl=0.00;post_pos=0;n=11,P00010,2025-09-29,P00010,2025-09-29,0.00,11,,2026-07-30,2026-07-30,0,
80GSFC23CA041,CONT_AWD_80GSFC23CA041_8000_-NONE-_-NONE-,descoped,high,2026-07-30,Partial de-scope rather than full termination (M P00018 2025-03-21) per USAspending transactions.,term=M P00018 2025-03-21;term_mod=P00018;term_date=2025-03-21;post_n=10;post_obl=5225600.00;post_pos=8;n=29;descope=1,P00018,2025-03-21,P00028,2026-06-12,5225600.00,29,,2026-07-30,2026-07-30,0,
80GSFC23PA006,CONT_AWD_80GSFC23PA006_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00003 2025-06-18); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00003 2025-06-18;term_mod=P00003;term_date=2025-06-18;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2025-06-18,P00003,2025-06-18,0.00,4,,2026-07-30,2026-07-30,0,
80GSFC24CA024,CONT_AWD_80GSFC24CA024_8000_-NONE-_-NONE-,continued,high,2026-07-30,"Award received new obligations after termination (M P00008 2025-05-28): +$96,435.00 on B P00013 2026-06-18 per USAspending transactions.",term=M P00008 2025-05-28;term_mod=P00008;term_date=2025-05-28;post_n=5;post_obl=452309.00;post_pos=2;n=14;continued=B P00013 2026-06-18,P00008,2025-05-28,P00013,2026-06-18,452309.00,14,,2026-07-30,2026-07-30,0,
80GSFC25P0001,CONT_AWD_80GSFC25P0001_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00001 2025-09-24); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00001 2025-09-24;term_mod=P00001;term_date=2025-09-24;post_n=0;post_obl=0.00;post_pos=0;n=2,P00001,2025-09-24,P00001,2025-09-24,0.00,2,,2026-07-30,2026-07-30,0,
80HQTR20D0005,CONT_IDV_80HQTR20D0005_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00005 2025-04-08); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00005 2025-04-08;term_mod=P00005;term_date=2025-04-08;post_n=0;post_obl=0.00;post_pos=0;n=6,P00005,2025-04-08,P00005,2025-04-08,0.00,6,,2026-07-30,2026-07-30,0,
80HQTR21AA001,CONT_IDV_80HQTR21AA001_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00004 2025-03-11); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00004 2025-03-11;term_mod=P00004;term_date=2025-03-11;post_n=0;post_obl=0.00;post_pos=0;n=5,P00004,2025-03-11,P00004,2025-03-11,0.00,5,,2026-07-30,2026-07-30,0,
80HQTR21AA002,CONT_IDV_80HQTR21AA002_8000,no_termination_signal,low,2026-07-30,No termination action found in 6 transactions.,term=none;n=6,,,P00005,2025-03-11,,6,,2026-07-30,2026-07-30,0,
80HQTR21D0004,CONT_IDV_80HQTR21D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00031 2026-03-03); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00031 2026-03-03;term_mod=P00031;term_date=2026-03-03;post_n=0;post_obl=0.00;post_pos=0;n=32,P00031,2026-03-03,P00031,2026-03-03,0.00,32,,2026-07-30,2026-07-30,0,
80HQTR21F0124,CONT_AWD_80HQTR21F0124_8000_GS10F0100T_4730,still_terminated,low,2026-07-30,"Terminated for convenience (M P00022 2025-03-17); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00022 2025-03-17;term_mod=P00022;term_date=2025-03-17;post_n=0;post_obl=0.00;post_pos=0;n=23,P00022,2025-03-17,P00022,2025-03-17,0.00,23,,2026-07-30,2026-07-30,0,
80HQTR22AA003,CONT_IDV_80HQTR22AA003_8000,no_termination_signal,low,2026-07-30,No termination action found in 6 transactions.,term=none;n=6,,,P00005,2025-04-03,,6,,2026-07-30,2026-07-30,0,
80HQTR22AA009,CONT_IDV_80HQTR22AA009_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00003 2025-03-11); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00003 2025-03-11;term_mod=P00003;term_date=2025-03-11;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2025-03-11,P00003,2025-03-11,0.00,4,,2026-07-30,2026-07-30,0,
80HQTR22F0076,CONT_AWD_80HQTR22F0076_8000_80HQTR21D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00010 2026-03-18); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00010 2026-03-18;term_mod=P00010;term_date=2026-03-18;post_n=0;post_obl=0.00;post_pos=0;n=11,P00010,2026-03-18,P00010,2026-03-18,0.00,11,,2026-07-30,2026-07-30,0,
80HQTR22F0109,CONT_AWD_80HQTR22F0109_8000_80HQTR21D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00005 2026-03-18); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00005 2026-03-18;term_mod=P00005;term_date=2026-03-18;post_n=0;post_obl=0.00;post_pos=0;n=6,P00005,2026-03-18,P00005,2026-03-18,0.00,6,,2026-07-30,2026-07-30,0,
80HQTR23AA001,CONT_IDV_80HQTR23AA001_8000,no_termination_signal,low,2026-07-30,No termination action found in 7 transactions.,term=none;n=7,,,P00006,2025-03-11,,7,,2026-07-30,2026-07-30,0,
80HQTR23AA002,CONT_IDV_80HQTR23AA002_8000,no_termination_signal,low,2026-07-30,No termination action found in 6 transactions.,term=none;n=6,,,P00005,2025-03-11,,6,,2026-07-30,2026-07-30,0,
80HQTR23AA003,CONT_IDV_80HQTR23AA003_8000,no_termination_signal,low,2026-07-30,No termination action found in 4 transactions.,term=none;n=4,,,P00003,2025-03-11,,4,,2026-07-30,2026-07-30,0,
80HQTR23F0042,CONT_AWD_80HQTR23F0042_8000_80HQTR21D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00001 2026-04-14); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00001 2026-04-14;term_mod=P00001;term_date=2026-04-14;post_n=0;post_obl=0.00;post_pos=0;n=2,P00001,2026-04-14,P00001,2026-04-14,0.00,2,,2026-07-30,2026-07-30,0,
80HQTR23FA018,CONT_AWD_80HQTR23FA018_8000_80HQTR22AA005_8000,naturally_expired,low,2026-07-30,No termination action in 3 transactions; period of performance ended 2025-07-31.,term=none;end=2025-07-31;n=3,,,P00002,2025-02-07,,3,,2026-07-30,2026-07-30,0,
80HQTR23FA044,CONT_AWD_80HQTR23FA044_8000_80GSFC23DA004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00005 2025-02-27); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00005 2025-02-27;term_mod=P00005;term_date=2025-02-27;post_n=0;post_obl=0.00;post_pos=0;n=6,P00005,2025-02-27,P00005,2025-02-27,0.00,6,,2026-07-30,2026-07-30,0,
80HQTR24F0012,CONT_AWD_80HQTR24F0012_8000_80HQTR21D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00004 2026-04-14); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00004 2026-04-14;term_mod=P00004;term_date=2026-04-14;post_n=0;post_obl=0.00;post_pos=0;n=5,P00004,2026-04-14,P00004,2026-04-14,0.00,5,,2026-07-30,2026-07-30,0,
80HQTR24F0019,CONT_AWD_80HQTR24F0019_8000_80HQTR21D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00002 2025-04-08); no rescission, closeout, or new obligations in 1 later transactions.",term=M P00002 2025-04-08;term_mod=P00002;term_date=2025-04-08;post_n=1;post_obl=0.00;post_pos=0;n=4,P00002,2025-04-08,P00003,2026-04-09,0.00,4,,2026-07-30,2026-07-30,0,
80HQTR24F0037,CONT_AWD_80HQTR24F0037_8000_80HQTR21D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00003 2026-04-14); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00003 2026-04-14;term_mod=P00003;term_date=2026-04-14;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2026-04-14,P00003,2026-04-14,0.00,4,,2026-07-30,2026-07-30,0,
80HQTR24F0046,CONT_AWD_80HQTR24F0046_8000_80MSFC21D0009_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00002 2025-03-13); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00002 2025-03-13;term_mod=P00002;term_date=2025-03-13;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2025-03-13,P00002,2025-03-13,0.00,3,,2026-07-30,2026-07-30,0,
80HQTR24F0064,CONT_AWD_80HQTR24F0064_8000_80MSFC21D0009_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00003 2025-03-21); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00003 2025-03-21;term_mod=P00003;term_date=2025-03-21;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2025-03-21,P00003,2025-03-21,0.00,4,,2026-07-30,2026-07-30,0,
80HQTR24F0070,CONT_AWD_80HQTR24F0070_8000_80MSFC21D0009_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00001 2025-03-13); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00001 2025-03-13;term_mod=P00001;term_date=2025-03-13;post_n=0;post_obl=0.00;post_pos=0;n=2,P00001,2025-03-13,P00001,2025-03-13,0.00,2,,2026-07-30,2026-07-30,0,
80HQTR24F0071,CONT_AWD_80HQTR24F0071_8000_80MSFC21D0009_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00001 2025-03-13); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00001 2025-03-13;term_mod=P00001;term_date=2025-03-13;post_n=0;post_obl=0.00;post_pos=0;n=2,P00001,2025-03-13,P00001,2025-03-13,0.00,2,,2026-07-30,2026-07-30,0,
80HQTR24F0072,CONT_AWD_80HQTR24F0072_8000_80MSFC21D0009_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00001 2025-03-13); no rescission, closeout, or new obligations in 1 later transactions.",term=M P00001 2025-03-13;term_mod=P00001;term_date=2025-03-13;post_n=1;post_obl=-13540.36;post_pos=0;n=3,P00001,2025-03-13,P00002,2025-08-20,-13540.36,3,,2026-07-30,2026-07-30,0,
80HQTR24F0073,CONT_AWD_80HQTR24F0073_8000_80MSFC21D0009_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00001 2025-03-21); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00001 2025-03-21;term_mod=P00001;term_date=2025-03-21;post_n=0;post_obl=0.00;post_pos=0;n=2,P00001,2025-03-21,P00001,2025-03-21,0.00,2,,2026-07-30,2026-07-30,0,
80HQTR24F0074,CONT_AWD_80HQTR24F0074_8000_80MSFC21D0009_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00001 2025-03-13); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00001 2025-03-13;term_mod=P00001;term_date=2025-03-13;post_n=0;post_obl=0.00;post_pos=0;n=2,P00001,2025-03-13,P00001,2025-03-13,0.00,2,,2026-07-30,2026-07-30,0,
80HQTR24F0096,CONT_AWD_80HQTR24F0096_8000_80GSFC19D0011_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00002 2025-04-08); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00002 2025-04-08;term_mod=P00002;term_date=2025-04-08;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2025-04-08,P00002,2025-04-08,0.00,3,,2026-07-30,2026-07-30,0,
80HQTR24FA019,CONT_AWD_80HQTR24FA019_8000_80HQTR24AA002_8000,naturally_expired,low,2026-07-30,No termination action in 14 transactions; period of performance ended 2025-11-30.,term=none;end=2025-11-30;n=14,,,P00013,2025-08-11,,14,,2026-07-30,2026-07-30,0,
80HQTR24FA038,CONT_AWD_80HQTR24FA038_8000_80HQTR24AA006_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00002 2025-03-20); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00002 2025-03-20;term_mod=P00002;term_date=2025-03-20;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2025-03-20,P00002,2025-03-20,0.00,3,,2026-07-30,2026-07-30,0,
80HQTR25F7019,CONT_AWD_80HQTR25F7019_8000_80HQTR21D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00002 2026-04-14); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00002 2026-04-14;term_mod=P00002;term_date=2026-04-14;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2026-04-14,P00002,2026-04-14,0.00,3,,2026-07-30,2026-07-30,0,
80HQTR25F7080,CONT_AWD_80HQTR25F7080_8000_80MSFC21D0009_8000,naturally_expired,low,2026-07-30,No termination action in 2 transactions; period of performance ended 2025-09-05.,term=none;end=2025-09-05;n=2,,,P00001,2025-08-28,,2,,2026-07-30,2026-07-30,0,
80HQTR25F7083,CONT_AWD_80HQTR25F7083_8000_80MSFC21D0009_8000,naturally_expired,low,2026-07-30,No termination action in 2 transactions; period of performance ended 2025-09-05.,term=none;end=2025-09-05;n=2,,,P00001,2025-09-04,,2,,2026-07-30,2026-07-30,0,
80HQTR25FA007,CONT_AWD_80HQTR25FA007_8000_80HQTR24AA005_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00003 2025-03-14); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00003 2025-03-14;term_mod=P00003;term_date=2025-03-14;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2025-03-14,P00003,2025-03-14,0.00,4,,2026-07-30,2026-07-30,0,
80HQTR25FA019,CONT_AWD_80HQTR25FA019_8000_80HQTR22AA005_8000,naturally_expired,low,2026-07-30,No termination action in 2 transactions; period of performance ended 2025-08-11.,term=none;end=2025-08-11;n=2,,,P00001,2026-06-25,,2,,2026-07-30,2026-07-30,0,
80HQTR25FA042,CONT_AWD_80HQTR25FA042_8000_80HQTR24DA009_8000,naturally_expired,low,2026-07-30,No termination action in 4 transactions; period of performance ended 2026-01-31.,term=none;end=2026-01-31;n=4,,,P00003,2026-01-14,,4,,2026-07-30,2026-07-30,0,
80JSC022CA012,CONT_AWD_80JSC022CA012_8000_-NONE-_-NONE-,naturally_expired,low,2026-07-30,No termination action in 9 transactions; period of performance ended 2025-11-15.,term=none;end=2025-11-15;n=9,,,P00008,2025-04-08,,9,,2026-07-30,2026-07-30,0,
80JSC024F0025,CONT_AWD_80JSC024F0025_8000_80JSC018A0012_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00007 2025-02-20); no rescission, closeout, or new obligations in 2 later transactions.",term=M P00007 2025-02-20;term_mod=P00007;term_date=2025-02-20;post_n=2;post_obl=-97260.38;post_pos=0;n=10,P00007,2025-02-20,P00009,2025-05-21,-97260.38,10,,2026-07-30,2026-07-30,0,
80JSC024F0086,CONT_AWD_80JSC024F0086_8000_80JSC020D0040_8000,naturally_expired,low,2026-07-30,No termination action in 2 transactions; period of performance ended 2025-04-21.,term=none;end=2025-04-21;n=2,,,P00001,2025-05-12,,2,,2026-07-30,2026-07-30,0,
80JSC024FA083,CONT_AWD_80JSC024FA083_8000_80JSC023AA001_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00002 2025-01-24); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00002 2025-01-24;term_mod=P00002;term_date=2025-01-24;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2025-01-24,P00002,2025-01-24,0.00,3,,2026-07-30,2026-07-30,0,
