Award ID,source_type,recipient,value,savings,status,source_url,description,agency,claim_date
80NSSC24PC363,Contract,QUALCOMM TECHNOLOGIES INC,-6000.0,,Terminate-for-convenience action P00002 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC363_8000_-NONE-_-NONE-/,TERMINATE FOR CONVENIENCE AGREEMENT - QUALCOMM 5G LEARNING - FOUR SUBSCRIPTIONS,National Aeronautics and Space Administration,
80NSSC23PA010,Contract,BUSINESS CLASS AVIATION INC.,-38680.0,,Terminate-for-convenience action P00004 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC23PA010_8000_-NONE-_-NONE-/,TERMINATE FOR CONVENIENCE OF AGREEMENT-DC-8 AND SOFIA AIRCRAFT STORAGE AND PARTS REMOVAL,National Aeronautics and Space Administration,
80LARC21F0153,Contract,CORNELL TECHNICAL SERVICES LLC,0.0,,Termination-language transaction P00006 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80LARC21F0153_8000_80LARC20D0007_8000/,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - MARS EXPLORATION PROGRAM (MEP) ASSESSMENT FOR MANAGEMENT, PLANNING, TECHNICAL, SCIENTIFIC, RISK, COST, AND SCHEDULE SUPPORT",National Aeronautics and Space Administration,
80LARC25F7011,Contract,CORNELL TECHNICAL SERVICES LLC,0.0,,Termination-language transaction P00003 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80LARC25F7011_8000_80LARC20D0007_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - 2025 ASTROPHYSICS DIVISION SENIOR REVIEW,National Aeronautics and Space Administration,
80LARC21F0083,Contract,CORNELL TECHNICAL SERVICES LLC,0.0,,Termination-language transaction P00006 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80LARC21F0083_8000_80LARC20D0007_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - SOMA VAULT ADMINISTRATION,National Aeronautics and Space Administration,
80NSSC24PC064,Contract,THE JANDOR GROUP LLC,0.0,,Terminate-for-convenience action P00001 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC064_8000_-NONE-_-NONE-/,TERMINATE FOR CONVENIENCE AGREEMENT,National Aeronautics and Space Administration,
80MSFC22F0153,Contract,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,0.0,,Termination-language transaction P00004 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80MSFC22F0153_8000_80MSFC20D0004_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - NESC AVIONICS PACKAGING ENGINEERING PROCESSES AND BEST PRACTICES,National Aeronautics and Space Administration,
80NSSC24PB720,Contract,R3 UNIQ INC,0.0,,Terminate-for-convenience action P00001 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PB720_8000_-NONE-_-NONE-/,TERMINATE FOR CONVENIENCE - OMNEST NETWORK SIMULATION SOFTWARE LICENSES AND SUPPORT,National Aeronautics and Space Administration,
80NM0018F0669,Contract,CALIFORNIA INSTITUTE OF TECHNOLOGY,0.0,,Termination-language transaction P00007 on 2025-04-07,https://www.usaspending.gov/award/CONT_AWD_80NM0018F0669_8000_80NM0018D0004_8000/,STOP WORK ORDER ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - GEOSTATIONARY CARBON CYCLE OBSERVATORY (GEOCARB) PRE-PHASE A AND PHASE A (87-700073) FOR SMD DIRECTORATE,National Aeronautics and Space Administration,
80NSSC24PA210,Contract,UNIBAP SPACE SOLUTIONS AB (PUBL),-70000.0,,Terminate-for-convenience action P00002 on 2025-03-28,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA210_8000_-NONE-_-NONE-/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - UNIBAP - OSE-SAT IN-SPACE AUTONOMY TESTBED,National Aeronautics and Space Administration,
80HQTR24F0073,Contract,"BARRIOS TECHNOLOGY, LLC",0.0,,Termination-language transaction P00001 on 2025-03-21,https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0073_8000_80MSFC21D0009_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - ESDMD INTEGRATION AND ADMINISTRATIVE SUPPORT.,National Aeronautics and Space Administration,
80HQTR24F0064,Contract,"BARRIOS TECHNOLOGY, LLC",0.0,,Termination-language transaction P00003 on 2025-03-21,https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0064_8000_80MSFC21D0009_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - MSD RISK MANAGEMENT,National Aeronautics and Space Administration,
80KSC024F0045,Contract,"THE PERFORMANCE KNOWLEDGE GROUP, LLC",0.0,,Termination-language transaction P00001 on 2025-03-21,https://www.usaspending.gov/award/CONT_AWD_80KSC024F0045_8000_80KSC021A0007_8000/,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - STRATEGIC MANAGEMENT SUPPORT SERVICES (SMSS) TASK ORDER FOR CENTER ENGINEERING, SAFETY AND OPERATIONS (CESO)",National Aeronautics and Space Administration,
80KSC024F0043,Contract,"THE PERFORMANCE KNOWLEDGE GROUP, LLC",0.0,,Termination-language transaction P00003 on 2025-03-21,https://www.usaspending.gov/award/CONT_AWD_80KSC024F0043_8000_80KSC021A0007_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - STRATEGIC MANAGEMENT SUPPORT SERVICES (SMSS) TASK ORDER FOR LAUNCH SERVICES PROGRAM (LSP).,National Aeronautics and Space Administration,
80KSC024F0044,Contract,"THE PERFORMANCE KNOWLEDGE GROUP, LLC",0.0,,Termination-language transaction P00001 on 2025-03-21,https://www.usaspending.gov/award/CONT_AWD_80KSC024F0044_8000_80KSC021A0007_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE _STRATEGIC MANAGEMENT SUPPORT SERVICES (SMSS) TASK ORDER FOR LAUNCH SERVICES PROGRAM (EGS),National Aeronautics and Space Administration,
80ARC023CA004,Contract,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,0.0,,Termination-language transaction P00002 on 2025-03-21,https://www.usaspending.gov/award/CONT_AWD_80ARC023CA004_8000_-NONE-_-NONE-/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - CONTRACT TO EXTEND LONGEVITY OF 3D TISSUES AND MICROPHYSIOLOGICAL SYSTEMS FOR MODELING OF ACUTE AND CHRONIC EXPOSURES TO STRESSORS IN SUPPORT OF HQ/SMD.,National Aeronautics and Space Administration,
80HQTR21F0124,Contract,"OVERLOOK SYSTEMS TECHNOLOGIES, INC.",0.0,,Termination-language transaction P00022 on 2025-03-17,https://www.usaspending.gov/award/CONT_AWD_80HQTR21F0124_8000_GS10F0100T_4730/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - POLICY AND STRATEGIC COMMUNICATIONS (PSC) SUPPORT FOR NASA SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM.,National Aeronautics and Space Administration,
80HQTR24F0072,Contract,"BARRIOS TECHNOLOGY, LLC",0.0,,Termination-language transaction P00001 on 2025-03-13,https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0072_8000_80MSFC21D0009_8000/,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE-PROVIDES DATA AND EVIDENCE-DRIVEN ADVICE TO NASA LEADERSHIP TO ASSURE AN INTEGRATED ENTERPRISE APPROACH TO TECHNOLOGY, POLICY, AND STRATEGY.",National Aeronautics and Space Administration,
80HQTR24F0070,Contract,"BARRIOS TECHNOLOGY, LLC",0.0,,Termination-language transaction P00001 on 2025-03-13,https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0070_8000_80MSFC21D0009_8000/,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE- ODEO MISSION SUPPORT ENTERPRISE OFFICES.  SUPPORTING THE CIVIL RIGHTS COMPLAINT PROCESS, ADJUDICATION PROCEDURES, COMPLIANCE ACTIVITIES, A CIVIL RIGHTS COMPLIANCE.",National Aeronautics and Space Administration,
80HQTR24F0046,Contract,"BARRIOS TECHNOLOGY, LLC",0.0,,Termination-language transaction P00002 on 2025-03-13,https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0046_8000_80MSFC21D0009_8000/,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - STRATEGIC PLANNING, ANALYSIS, AND PROGRAMMATIC SUPPORT FOR.PLANETARY SCIENCES DIVISION.HQ SCIENCE MISSION DIRECTORATE",National Aeronautics and Space Administration,
80HQTR24F0071,Contract,"BARRIOS TECHNOLOGY, LLC",0.0,,Termination-language transaction P00001 on 2025-03-13,https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0071_8000_80MSFC21D0009_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE-ODEO MISSION SUPPORT ENTERPRISE OFFICES. ..LEVERAGING THE EXPERTISE OF AN ..ADMINISTRATIVE OPERATIONS SPECIALIST.,National Aeronautics and Space Administration,
80HQTR24F0074,Contract,"BARRIOS TECHNOLOGY, LLC",0.0,,Termination-language transaction P00001 on 2025-03-13,https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0074_8000_80MSFC21D0009_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE- ODEO MISSION SUPPORT ENTERPRISE OFFICES.       WILL BE RESPONSIBLE FOR OVERSEEING AND MANAGING THE SUCCESSFUL EXECUTION OF THE FOLLOWING SPECIAL PROJECTS:,National Aeronautics and Space Administration,
80NM0019F0075,Contract,CALIFORNIA INSTITUTE OF TECHNOLOGY,0.0,,Termination-language transaction P00009 on 2026-06-17,https://www.usaspending.gov/award/CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000/,TERMINATION FOR CONVENIENCE AGREEMENT - MARS TO MOON ENGINEERING SUPPORT FOR XYZ DIRECTORATE,National Aeronautics and Space Administration,
80NSSC24PA590,Contract,"ELI GROUP, LLC",0.0,,Terminate-for-convenience action P00001 on 2025-01-31,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA590_8000_-NONE-_-NONE-/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - 2024 LEADERSHIP LAB FOR WOMEN,National Aeronautics and Space Administration,
80JSC024FA135,Contract,BOOZ ALLEN HAMILTON INC,0.0,,Terminate-for-convenience action P00002 on 2025-01-27,https://www.usaspending.gov/award/CONT_AWD_80JSC024FA135_8000_80JSC023AA001_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE TERMINATED IAW EO 14151-STRATEGIC PROFESSIONAL ENGINEERING ASSESSMENT CONTRACT II (SPEAC II),National Aeronautics and Space Administration,
80MSFC24F0067,Contract,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,0.0,,Termination-language transaction P00002 on 2025-01-23,https://www.usaspending.gov/award/CONT_AWD_80MSFC24F0067_8000_80MSFC20D0004_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - HERE TO OBSERVE (H2O) SUPPORT FOR PLANETARY SCIENCE DIVISION (PSD) MISSIONS,National Aeronautics and Space Administration,
80NM0024F0047,Contract,CALIFORNIA INSTITUTE OF TECHNOLOGY,0.0,,Termination-language transaction P00004 on 2026-04-13,https://www.usaspending.gov/award/CONT_AWD_80NM0024F0047_8000_80NM0018D0004_8000/,TERMINATION FOR CONVENIENCE AGREEMENT - ADVANCING VIETNAM'S MARINE SPATIAL PLANNING FOR OFFSHORE WIND ENERGY DEVELOPMENT (82-222737),National Aeronautics and Space Administration,
80MSFC21CA001,Contract,LOCKHEED MARTIN CORP,0.0,,Terminate-for-convenience action P00019 on 2026-04-03,https://www.usaspending.gov/award/CONT_AWD_80MSFC21CA001_8000_-NONE-_-NONE-/,"TIPPING POINT CRYOGENIC DEMONSTRATION MISSION (CDM) ESTABLISH THE FINAL SETTLEMENT BETWEEN THE GOVERNMENT AND CONTRACTOR RESULTING FROM THE TERMINATION FOR CONVENIENCE OF CONTRACT NO. 80MSFC21CA001 ISSUED ON AUGUST 8, 2024.",National Aeronautics and Space Administration,
80LARC25F7003,Contract,THE AEROSPACE CORPORATION,0.0,,Termination-language transaction P00002 on 2026-03-17,https://www.usaspending.gov/award/CONT_AWD_80LARC25F7003_8000_80GSFC19D0011_8000/,TERMINATION FOR CONVENIENCE AGREEMENT- NASA ENGINEERING AND SAFETY CENTER'S (NESC) ENVIRONMENTAL CONTROL AND LIFE SUPPORT (ECLSS) TECHNICAL DISCIPLINE TEAM (TDT).,National Aeronautics and Space Administration,
80LARC24F0039,Contract,THE AEROSPACE CORPORATION,0.0,,Termination-language transaction P00002 on 2026-03-17,https://www.usaspending.gov/award/CONT_AWD_80LARC24F0039_8000_80GSFC19D0011_8000/,TERMINATION FOR CONVENIENCE AGREEMENT - NASA ENGINEERING AND SAFETY CENTER'S (NESC) TEAM TO GUISE FUTURE HUMAN-RATED SPACECRAFT PROVIDERS ON DESIGNING AND VERIFYING A SPACECRAFT FIRE SYSTEM.,National Aeronautics and Space Administration,
80NSSC24FA979,Contract,"BRYCE SPACE AND TECHNOLOGY, LLC",-124874.86,,Termination-language transaction P00004 on 2025-09-12,https://www.usaspending.gov/award/CONT_AWD_80NSSC24FA979_8000_80NSSC24AA010_8000/,"TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPA CALL FOR OFFICE OF TECHNOLOGY, POLICY, AND STRATEGY INDEPENDENT DIAGNOSTIC AND STRATEGIC ADVISORY SUPPORT (OTPS-IDSAS).",National Aeronautics and Space Administration,
80GSFC23CA005,Contract,SOUTHWEST RESEARCH INSTITUTE,40788.0,,Terminate-for-convenience action P00006 on 2025-09-11,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA005_8000_-NONE-_-NONE-/,COMPLETE TERMINATION FOR CONVENIENCE OF NASA GEOSPACE DYNAMICS CONSTELLATION (GDC) COMPREHENSIVE AURORAL PRECIPITATION EXPERIMENT (CAPE),National Aeronautics and Space Administration,
80GSFC23PA006,Contract,"MALIN SPACE SCIENCE SYSTEMS, INC",0.0,,Terminate-for-convenience action P00003 on 2025-06-18,https://www.usaspending.gov/award/CONT_AWD_80GSFC23PA006_8000_-NONE-_-NONE-/,"TERMINATION FOR CONVENIENCE AGREEMENT - MARS SAMPLE RETURN CAMPAIGN CAPTURE, CONTAINMENT, AND RETURN SAMPLE (CCRS) CAMERA",National Aeronautics and Space Administration,
80NSSC25PA641,Contract,"MESSE DUSSELDORF NORTH AMERICA, INC.",-15200.0,,Termination-language transaction P00002 on 2025-06-17,https://www.usaspending.gov/award/CONT_AWD_80NSSC25PA641_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - BOOTH SPACE FOR NASA AT AUVSI 2025,National Aeronautics and Space Administration,
80GSFC22CA021,Contract,NEWTON LLC,-31752.64,,Terminate-for-convenience action P00015 on 2025-06-17,https://www.usaspending.gov/award/CONT_AWD_80GSFC22CA021_8000_-NONE-_-NONE-/,"TERMINATION FOR CONVENIENCE AGREEMENT - CAPTURE, CONTAINMENT RETURN SYSTEM (CCRS) CAPTURE LID MECHANISM (CLM)",National Aeronautics and Space Administration,
80GSFC24CA024,Contract,"A3L FEDERAL WORKS,LLC",0.0,,Termination-language transaction P00008 on 2025-05-28,https://www.usaspending.gov/award/CONT_AWD_80GSFC24CA024_8000_-NONE-_-NONE-/,"TERMINATION FOR CONVENIENCE AGREEMENT-PARTIAL- IV&V PROGRAM OFFICE OF SAFETY & MISSION ASSURANCE (OSMA)  KNOWLEDGE MANAGEMENT, EVENTS AND COMMUNICATIONS SUPPORTS (KMECS) IVV CONTRACT",National Aeronautics and Space Administration,
80NSSC25FA315,Contract,"NATIONAL QUALITY ASSURANCE - U.S.A., INC.",-28832.0,,Terminate-for-convenience action P00001 on 2025-05-05,https://www.usaspending.gov/award/CONT_AWD_80NSSC25FA315_8000_80NSSC24AA005_8000/,TERMINATION FOR CONVENIENCE-AS9100 AUDIT AT AFRC'S NASA FACILITY,National Aeronautics and Space Administration,
80NSSC24PB679,Contract,"GARTNER, INC.",0.0,,Termination-language transaction P00002 on 2025-04-30,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PB679_8000_-NONE-_-NONE-/,"TERMINATION FOR CONVENIENCE AGREEMENT --NASA HUMAN CAPITAL AND LEARNING & DEVELOPMENT ADVISORY, RESEARCH AND BENCHMARKING SERVICES.",National Aeronautics and Space Administration,
80NSSC25FA078,Contract,COLOSSAL CONTRACTING LLC,0.0,,Terminate-for-convenience action P00001 on 2025-04-16,https://www.usaspending.gov/award/CONT_AWD_80NSSC25FA078_8000_NNG15SD72B_8000/,TERMINATION FOR CONVENIENCE AGREEMENT PRISMA CLOUD RENEWAL,National Aeronautics and Space Administration,
80NSSC24PB891,Contract,"CAREER COMMUNICATIONS GROUP, INC.",0.0,,Terminate-for-convenience action P00003 on 2025-04-16,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PB891_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE: WOMEN OF COLOR IN STEM SILVER PARTNERSHIP AND PARTICIPATION IN THEIR NATIONAL CONVENTION,National Aeronautics and Space Administration,
80NSSC24FA558,Contract,"THREE WIRE SYSTEMS, LLC",0.0,,Terminate-for-convenience action P00001 on 2025-04-16,https://www.usaspending.gov/award/CONT_AWD_80NSSC24FA558_8000_NNG15SD25B_8000/,TERMINATION FOR CONVENIENCE AGREEMENT TOR- ONE SOFTWARE RENEWAL,National Aeronautics and Space Administration,
80NSSC24PC475,Contract,ZUKEN USA INC,-44325.0,,Terminate-for-convenience action P00002 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC475_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - ZUKEN DS.E3 LICENSE DATA AND CONFIGURATION MANAGEMENT POP: 10/1/24 - 9/30/25,National Aeronautics and Space Administration,
80NSSC20P1795,Contract,HOWARD WERSHBALE & CO,0.0,,Terminate-for-convenience action P00008 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC20P1795_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT EXERCISE OPTION YR 4,National Aeronautics and Space Administration,
80NSSC22PA482,Contract,"DIVERSIFIED SERVICES GROUP, INC.",0.0,,Terminate-for-convenience action P00006 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC22PA482_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - LIVE PLANT MAINTENANCE SERVICES,National Aeronautics and Space Administration,
80NSSC23PB058,Contract,"FLORIDA FIRST ROBOTICS EDUCATION FOUNDATION, INC",0.0,,Terminate-for-convenience action P00002 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC23PB058_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - SPONSORSHIP OF THE FIRST ORLANDO REGIONAL,National Aeronautics and Space Administration,
80NSSC25PA014,Contract,SPACE EXPLORATION TECHNOLOGIES CORP,0.0,,Terminate-for-convenience action P00001 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC25PA014_8000_-NONE-_-NONE-/,"TERMINATION FOR CONVENIENCE AGREEMENT - ASPIRE PUBLIC-PRIVATE TALENT PROGRAM, SPACEX IMMERSION",National Aeronautics and Space Administration,
80NSSC24PB139,Contract,"DATADOG, INC.",0.0,,Terminate-for-convenience action P00002 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PB139_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - DATADOG SUBSCRIPTION,National Aeronautics and Space Administration,
80NSSC25PA845,Contract,SINEQUA CORP,-220565.99,,Termination-language transaction P00001 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC25PA845_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - SINEQUA CUSTOMER SUCCESS ENGINEERS,National Aeronautics and Space Administration,
80NSSC25PA068,Contract,UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,0.0,,Terminate-for-convenience action P00003 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80NSSC25PA068_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - OT DYNAMICAL NEUTRAL ATMOSPHERE-IONOSPHERE COUPLING-X (DYNAMIC-X),National Aeronautics and Space Administration,
80HQTR24F0019,Contract,"ICF INCORPORATED, L.L.C.",0.0,,Termination-language transaction P00002 on 2025-04-08,https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0019_8000_80HQTR21D0004_8000/,STOP WORK AND TERMINATION FOR CONVENIENCE NOTICE ISSUED. ENGAGEMENT SPECIALIST TO THE U.S. GLOBAL CHANGE RESEARCH PROGRAM (USGCRP) NATIONAL COORDINATION OFFICE (NCO),National Aeronautics and Space Administration,
80NSSC24PA753,Contract,KEYSIGHT TECHNOLOGIES INC,0.0,,Terminate-for-convenience action P00001 on 2025-03-19,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA753_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT ---- LICENSE MAINTENANCE FOR GENESYS,National Aeronautics and Space Administration,
80NSSC24PA710,Contract,"EMP CONSULTANTS, LLC",0.0,,Terminate-for-convenience action P00001 on 2025-03-17,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA710_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - NOVICE LICENSE RENEWAL,National Aeronautics and Space Administration,
80NSSC24PA923,Contract,KEYSIGHT TECHNOLOGIES INC,0.0,,Terminate-for-convenience action P00001 on 2025-03-17,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA923_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - RENEW SOFTWARE LICENSE FOR ADS,National Aeronautics and Space Administration,
