Source,Recipient Congressional District,Recipient Name,Award ID,Latest Modification Number,First Action Type,First Action Type Description,First Action Date,Latest Action Type,Latest Action Type Description,Latest Action Date,Action Code Termination Modification,Action Code Termination Date,Closeout Modification Number,Closeout Action Date,Start Date,Current End Date,End Date Basis,Initial Reported End Date,Current Obligated Amount,Total Outlays,Award or Action Description,Primary Detection Method,Detection Evidence,Recipient Business Categories,USAspending URL,Claimed By,DOGE Claimed Status,DOGE Claimed Savings,DOGE Claim Date
DOGE,MD-05,"B/W Color Prints, LLC",80NSSC25FA145,P00001,,,2025-01-14,M,OTHER ADMINISTRATIVE ACTION,2025-03-25,,,,,2025-01-14,2025-03-31,period_of_performance,2025-03-31,10771.00,10771.00,Status: Expired. Reported savings: $0. DOGE Action Date: 3/20/2025. Printing services for inspire/strategic communications,external_claim,Expired,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC25FA145_8000_GS07F216BA_4732/,DOGE,Expired,0.0,3/20/2025
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0046,P00002,,,2024-04-10,M,OTHER ADMINISTRATIVE ACTION,2025-03-13,,,,,2024-04-16,2025-01-22,period_of_performance,2025-04-15,226082.84,179082.90,"Status: Expired. Reported savings: $261,854.00. DOGE Action Date: 3/20/2025. Strategic planning, analysis, and programmatic support for.planetary sciences division.hq science mission directorate",external_claim,Expired,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0046_8000_80MSFC21D0009_8000/,DOGE,Expired,261854.0,3/20/2025
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0070,P00001,,,2024-07-18,M,OTHER ADMINISTRATIVE ACTION,2025-03-13,,,,,2024-08-01,2025-01-22,period_of_performance,2025-04-15,112312.76,75051.32,"Status: Expired. Reported savings: $122,313.00. DOGE Action Date: 3/20/2025. Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",external_claim,Expired,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0070_8000_80MSFC21D0009_8000/,DOGE,Expired,122313.0,3/20/2025
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0071,P00001,,,2024-07-18,M,OTHER ADMINISTRATIVE ACTION,2025-03-13,,,,,2024-08-01,2025-01-22,period_of_performance,2025-04-15,82838.19,55355.35,"Status: Expired. Reported savings: $82,838.00. DOGE Action Date: 3/20/2025. The project aims to enhance administrative operations and optimize efficiency within odeo by leveraging the expertise of an administrative operations specialist.",external_claim,Expired,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0071_8000_80MSFC21D0009_8000/,DOGE,Expired,82838.0,3/20/2025
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0074,P00001,,,2024-07-30,M,OTHER ADMINISTRATIVE ACTION,2025-03-13,,,,,2024-08-01,2025-01-22,period_of_performance,2025-04-15,82838.19,55355.35,"Status: Expired. Reported savings: $82,838.00. DOGE Action Date: 3/20/2025. Will be responsible for overseeing and managing the successful execution of special projects",external_claim,Expired,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0074_8000_80MSFC21D0009_8000/,DOGE,Expired,82838.0,3/20/2025
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0064,P00003,,,2024-06-26,M,OTHER ADMINISTRATIVE ACTION,2025-03-21,,,,,2024-06-24,2025-03-21,period_of_performance,2025-04-15,129377.08,33554.38,"Status: Expired. Reported savings: $129,377.00. DOGE Action Date: 3/20/2025. Coordinate and support the utilization of msds risk management plan and agency procedural documents and provide analysis and recommendation support to assist with msd risk management.",external_claim,Expired,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0064_8000_80MSFC21D0009_8000/,DOGE,Expired,129377.0,3/20/2025
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0073,P00001,,,2024-07-18,M,OTHER ADMINISTRATIVE ACTION,2025-03-21,,,,,2024-08-05,2025-03-21,period_of_performance,2025-04-15,74496.90,16699.75,"Status: Expired. Reported savings: $74,497.00. DOGE Action Date: 3/20/2025. Provide primary integration and administrative support to the esdmd moon to mars (M2M) program planning & control (PP&C) office",external_claim,Expired,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0073_8000_80MSFC21D0009_8000/,DOGE,Expired,74497.0,3/20/2025
USAspending Terminations,TX-36,"Barrios Technology, LLC",80HQTR24F0072,P00002,,,2024-07-18,C,FUNDING ONLY ACTION,2025-08-20,,,,,2024-08-01,2025-04-09,period_of_performance,2025-04-15,177017.05,177017.05,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE-PROVIDES DATA AND EVIDENCE-DRIVEN ADVICE TO NASA LEADERSHIP TO ASSURE AN INTEGRATED ENTERPRISE APPROACH TO TECHNOLOGY, POLICY, AND STRATEGY.",termination_language,Termination-language transaction P00001 on 2025-03-13,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0072_8000_80MSFC21D0009_8000/,,,,
USAspending Terminations,VA-11,"Bechtel National, Inc.",80KSC019C0013,P00180,,,2019-06-25,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-05-06,P00180,2026-05-06,,,2019-07-01,2026-06-05,period_of_performance,2023-02-28,1550689354.01,1472143491.72,DESIGN AND CONSTRUCTION OF NASA SPACE LAUNCH SYSTEM (SLS) MOBILE LAUNCHER 2 (ML2).,termination_action_code,Terminate-for-convenience action P00180 on 2026-05-06,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80KSC019C0013_8000_-NONE-_-NONE-/,,,,
USAspending Terminations,VA-11,"Blacksky Geospatial Solutions, LLC",80HQTR21AA002,P00005,,,2021-09-30,N,LEGAL CONTRACT CANCELLATION,2025-03-11,,,,,2021-09-30,2025-03-11,idv_last_date_to_order,2026-09-29,0.00,,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION PROGRAM (CSDAP) EARTH SCIENCES DIVISION,legal_contract_cancellation,Legal-contract-cancellation action P00005 on 2025-03-11,"category_business, corporate_entity_not_tax_exempt, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80HQTR21AA002_8000/,,,,
NASA Procurement Data View,DE-00,Blue Marble Space,80NSSC23M0020,P00004,A,NEW,2023-01-26,B,CONTINUATION,2025-05-14,,,,,2023-01-01,2025-05-09,period_of_performance,2025-12-31,44879.00,44879.00,TERMINATION FOR CONVENIENCE AGREEMENT - THREE-DIMENSIONAL MODELING OF OBSERVABLE TERRESTRIAL WORLDS - SUPPORT FOR SMD DIRECTORATE,description_keyword,,"category_business, corporate_entity_tax_exempt, nonprofit",https://www.usaspending.gov/award/ASST_NON_80NSSC23M0020_080/,,,,
DOGE,VA-11,Booz Allen Hamilton Inc,80JSC024FA088,0,,,2024-03-13,,,2024-03-13,,,,,2024-03-13,2025-03-13,period_of_performance,2025-03-13,442470.00,442470.00,"Status: Expired. Reported savings: $0. DOGE Action Date: 3/20/2025. The contractor shall provide independent programmatic and institutional assessment capability to support NASA. reviews and assessments are performed in support of organizational tactical and strategic planning efforts specifically for strategic messaging within the heliophysics science community, responding to the the next decade of discovery in solar and space physics: exploring and safeguarding humanity's home in space released in 2024, overall strategy and implementation of the space weather program and heliophysics digital resource library, leadership and division operational management, knowledge management, and support for division digital organization tools. the scope of reviews and assessments supported within this statement of work (SOW) includes NASA programs, projects within the heliophysics division as NASA headquarters.",external_claim,Expired,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80JSC024FA088_8000_80JSC023AA001_8000/,DOGE,Expired,0.0,3/20/2025
DOGE,VA-11,Booz Allen Hamilton Inc,80JSC024FA083,P00002,,,2024-03-04,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-01-24,P00002,2025-01-24,,,2024-03-05,2025-01-22,period_of_performance,2024-10-31,1923416.00,1923416.00,"Status: TERMINATED. Reported savings: $0. DOGE Action Date: 3/20/2025. NASA’s deia strategic plan emphasizes the need to implement a deia analytics capability within NASA’s enterprise data platform (EDP) to enable evidence-based awareness, planning, decisions, and assessments of the current and future state of deia at NASA. the way forward for NASA’s deia analytics capability and the application of it",external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80JSC024FA083_8000_80JSC023AA001_8000/,DOGE,TERMINATED,0.0,3/20/2025
DOGE,VA-11,Booz Allen Hamilton Inc,80JSC024FA135,P00002,,,2024-06-11,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-01-27,P00002,2025-01-27,,,2024-06-11,2025-01-22,period_of_performance,2025-06-10,701923.00,701923.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 3/20/2025. Strategic professional engineering assessment contract ii (SPEACII),external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80JSC024FA135_8000_80JSC023AA001_8000/,DOGE,TERMINATED,0.0,3/20/2025
DOGE,VA-11,Booz Allen Hamilton Inc,80JSC024FA120,P00003,M,OTHER ADMINISTRATIVE ACTION,2024-05-20,A,"ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED)",2025-02-25,,,,,2024-05-21,2025-05-21,period_of_performance,2025-05-21,857617.00,857617.00,"Status: Expired. Reported savings: $0. DOGE Action Date: 3/20/2025. The contractor shall assess and evaluate existing NASA science mission directorate (SMD) programming and procedures to identify gaps and/or underlying issues in support of the open science strategic initiatives. recommend updates to strategy documents and collect modifications for input. provide an assessment and recommendations to cross-cutting alignments across the directorate. the contractor shall facilitate planning and discussion meetings to conduct strategic assessment activities, provide recommendations on agenda and materials and document results, and report findings and recommendations to the oscdo and other leadership to inform mission directorate processes. the contractor shall develop and foster relationships with agency points of contact and others to further the oscdo offices’ goals. the contractor shall monitor developments in and around open science and technology polices relative to agency and ocsdo goals and directives. the contractor shall provide management and assessment of ocsdo schedules, milestones, actions, and risks using applicable tools and trackers. the contractor shall review and assess strategic engagement opportunities on behalf of smd ocsdo front office, open science data officer, and open science program scientist and recommend strategies to maximize reach and impact. recommend processes, slide deck templates (internal and external), and procedures to optimize the programs’ activities and knowledge management practices.",external_claim,Expired,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80JSC024FA120_8000_80JSC023AA001_8000/,DOGE,Expired,0.0,3/20/2025
USAspending Terminations,VA-11,Booz Allen Hamilton Inc,80NSSC24AA015,P00004,,,2024-01-30,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-13,P00004,2025-03-13,,,2024-01-29,2025-03-12,idv_last_date_to_order,2029-07-15,0.00,,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPSS FOR NASA ADMINISTRATIVE SUITE.,termination_action_code,Terminate-for-convenience action P00004 on 2025-03-13,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80NSSC24AA015_8000/,,,,
DOGE,VA-11,Booz Allen Hamilton Inc,80JSC025FA015,P00003,,,2024-10-31,A,"ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED)",2026-03-19,,,,,2024-11-01,2026-10-31,period_of_performance,2025-10-31,1986458.00,1586789.00,"Status: ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED). Reported savings: $0. DOGE Action Date: 3/20/2025. Game changing development (GCD) program data management and gcd tool support",external_claim,"ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED)","category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80JSC025FA015_8000_80JSC023AA001_8000/,DOGE,"ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED)",0.0,3/20/2025
DOGE,RI-01,Brown University,80NSSC24K0178,P00003,A,NEW,2024-01-03,D,ADJUSTMENT TO COMPLETED PROJECT,2025-08-12,,,P00003,2025-08-12,2023-11-01,2025-03-21,period_of_performance,2026-10-31,352074.28,352074.28,"DOGE Action Date: 3/21/2025. Reported savings: $380,667.00. Basic research: NASA earth observations for resilient salton sea communities",external_claim,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0178_080/,DOGE,,380667.0,3/21/2025
USAspending Terminations,RI-01,Brown University,80NSSC25K0030,P00001,A,NEW,2025-07-22,D,ADJUSTMENT TO COMPLETED PROJECT,2026-01-20,,,P00001,2026-01-20,2025-07-01,2026-01-19,period_of_performance,2028-06-30,0.00,0.00,EXECUTE A BALANCED SCIENCE PROGRAM BASED ON DISCIPLINE-SPECIFIC GUIDANCE FROM THE NATIONAL ACADEMIES OF SCIENCES  ENGINEERING  AND MEDICINE  ADMINISTRATION PRIORITIES  AND DIRECTION FROM CONGRESS.   PARTICIPATE AS A KEY PARTNER AND ENABLER IN THE AGE,obligation_clawback,"Pure-clawback deobligation P00001 on 2026-01-20 (100% of $448,257)","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC25K0030_080/,,,,
USAspending Terminations,RI-01,Brown University,80NSSC25M7096,P00003,A,NEW,2025-05-27,B,CONTINUATION,2026-04-24,,,P00002,2026-03-16,2025-01-28,2027-01-27,period_of_performance,2027-01-27,187500.00,125000.00,24-24NIACPROP-0008  MYCOTECTURE OFF PLANET: EN ROUTE TO THE MOON AND MARS,obligation_clawback,"Pure-clawback deobligation P00002 on 2026-03-16 (25% of $250,000)","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC25M7096_080/,,,,
USAspending Terminations,MA-03,Bruker Scientific LLC,80TECH25PA010,P00001,,,2025-02-25,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-02-26,P00001,2025-02-26,,,2025-02-25,2025-02-26,period_of_performance,2025-07-29,0.00,0.00,VERTEX 80V SPECTROMETER,termination_action_code,Terminate-for-convenience action P00001 on 2025-02-26,"category_business, corporate_entity_not_tax_exempt, foreign_owned_and_us_located_business, limited_liability_corporation, manufacturer_of_goods, other_than_small_business, special_designations",https://www.usaspending.gov/award/CONT_AWD_80TECH25PA010_8000_-NONE-_-NONE-/,,,,
DOGE,VA-08,"Bryce Solutions, LLC",80NSSC23FB052,P00017,,,2023-09-07,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-02-10,P00017,2026-02-10,,,2023-09-01,2025-02-28,period_of_performance,2028-02-29,2527240.48,2305450.88,"Status: Expired. Reported savings: $5,013,199.49. DOGE Action Date: 2/18/2025. Provides leadership and executive level one-on-one coaching services to the NASA enterprise-wide human capital support services (NEHCSS) contract.",external_claim,Expired,"category_business, joint_venture_women_owned_small_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC23FB052_8000_80NSSC23DA002_8000/,DOGE,Expired,5013199.49,2/18/2025
DOGE,VA-08,"Bryce Space and Technology, LLC",80NSSC24FA979,P00004,,,2024-07-30,M,OTHER ADMINISTRATIVE ACTION,2025-09-12,P00003,2025-03-27,,,2024-08-01,2025-04-10,period_of_performance,2025-07-31,645125.14,645125.14,"Status: TERMINATED. Reported savings: $4,667,483.22. DOGE Action Date: 4/4/2025. Administrative management and general management consulting services to provide NASA leadership with independent diagnostics and strategic advisory work on matters involving, technology policy and economics through independent research and analysis that answers specific questions on topics of interest.",external_claim,TERMINATED,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24FA979_8000_80NSSC24AA010_8000/,DOGE,TERMINATED,4667483.22,4/4/2025
USAspending Terminations,VA-08,"Bryce Space and Technology, LLC",80NSSC24AA010,P00004,,,2024-01-30,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-05-21,P00004,2026-05-21,,,2024-01-29,2026-05-19,idv_last_date_to_order,2029-07-15,0.00,,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPSS FOR NASA ADMINISTRATIVE SUITE.,termination_action_code,Terminate-for-convenience action P00004 on 2026-05-21,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_IDV_80NSSC24AA010_8000/,,,,
DOGE,CA-20,Business Class Aviation Inc.,80NSSC23PA010,P00004,,,2022-10-06,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00004,2025-04-08,,,2022-10-01,2025-04-08,period_of_performance,2027-09-30,0.00,0.00,"Status: TERMINATED. Reported savings: $96,700.00. DOGE Action Date: 3/20/2025. Dc-8 and sofia aircraft storage and parts removal",external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, self_certified_small_disadvanted_business, small_business, special_designations, subchapter_s_corporation, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC23PA010_8000_-NONE-_-NONE-/,DOGE,TERMINATED,96700.0,3/20/2025
